!method	ttest
!cutoff	500
!direction	up
PP14571	0.9999
PGK1	0.9998
PDHB	0.9997
MAP2	0.9997
MIR122	0.9995
NOTCH2NL	0.9994
XRRA1	0.9994
WDR49	0.9993
KPNA2	0.9992
NDRG2	0.9991
LRRC45	0.9989
CDK5	0.9987
EXOC3L1	0.9987
ASB12	0.9986
KIAA1211	0.9986
FIS1	0.9985
UHRF1BP1L	0.9985
LOC101927421	0.9985
IPCEF1	0.9982
SPINT3	0.998
ZNF791	0.998
MASTL	0.9978
C11orf85	0.9977
BAIAP2L2	0.9974
CEP170B	0.9973
LINC01420	0.9971
NAV2	0.9968
FMR1	0.9966
C1orf159	0.9961
SELL	0.996
ATP1A1	0.9957
GALNT8	0.9956
HPDL	0.9954
HIST1H4H	0.9952
GALP	0.9952
ZBTB7A	0.9951
LAMP3	0.995
LARGE	0.995
PIK3R3	0.995
OR1B1	0.9946
URB1	0.9945
CMAS	0.9942
RUFY4	0.9942
CCDC140	0.9942
ZNF510	0.994
DEFB125	0.994
SUSD3	0.9939
CRTAM	0.9938
MIR1185-1	0.9937
MIR1293	0.9936
SH3TC2	0.9935
TAS1R2	0.9931
UBAP2	0.9929
RBFOX2	0.9928
RAB3GAP2	0.9927
ZNF562	0.9926
XK	0.9923
RIC1	0.9921
MAPK7	0.9919
KLHL13	0.9917
CNTLN	0.9916
DEFB123	0.9914
ROBO2	0.9913
OR4C6	0.9912
APLNR	0.991
CAD	0.9909
MIR301A	0.9909
RNF216	0.9908
ETFA	0.9907
RAB2A	0.9906
SCNN1B	0.9903
GPR52	0.9902
PRMT9	0.9902
CSPG5	0.99
FUT11	0.99
CRYL1	0.9899
YDJC	0.9899
PRELP	0.9897
PSMB3	0.9895
KIAA1919	0.9895
CFL2	0.9894
MIR499A	0.9893
POM121L9P	0.9889
SCRT2	0.9889
PSMC6	0.9888
SNORD113-2	0.9887
KRTAP5-10	0.9886
NWD1	0.9884
CLU	0.9884
SLC30A8	0.9882
CDRT15P2	0.9882
KBTBD7	0.9881
FAM162B	0.9879
IL17C	0.9879
SLC16A13	0.9877
SLC25A32	0.9877
USP17L24	0.9877
SUMO1	0.9874
SLC18A1	0.9871
C6orf25	0.9868
MIR616	0.9865
SNORA26	0.9863
RHOT2	0.9858
ZNF317	0.9857
BOLA2	0.9857
MIR1289-1	0.9856
GPR15	0.9855
LINC01144	0.9855
WDR86	0.9854
MIR409	0.9854
HSP90AB1	0.9853
IL31RA	0.9853
CASP4	0.9853
MRS2P2	0.9851
FGL2	0.985
GSK3B	0.985
ATG14	0.9847
ACER2	0.9847
TMTC4	0.9846
GPR107	0.9845
SETD1B	0.9844
DEPDC1B	0.9843
SECISBP2	0.9842
MAGEA2B	0.9841
ATP10B	0.984
F8	0.984
HARS2	0.984
LINGO4	0.9837
MLLT1	0.9835
TMEM129	0.9834
MSL3P1	0.9832
MIR216A	0.9832
OR5B12	0.9831
SPCS2	0.983
ZNF20	0.983
IER3	0.9829
RPS6KA1	0.9829
PTPRT	0.9828
DOK6	0.9828
KRTAP13-2	0.9826
KIF23	0.9825
CDC42SE2	0.9824
MSH4	0.9823
MIR1471	0.9821
GPR111	0.9821
TNFSF18	0.9821
BAGE4	0.982
MYBPC1	0.9819
ENTPD5	0.9819
TRIM50	0.9818
SLC29A4	0.9817
LOC728752	0.9815
LOC729737	0.9813
ZCCHC11	0.9812
FMR1-AS1	0.9811
NUPR1	0.981
PRAMEF22	0.981
RNASE6	0.9809
MRGPRG	0.9806
SPATA31A6	0.9803
MIR520H	0.9802
WIPF1	0.9802
CCSER2	0.98
DUSP8	0.98
ACVR2A	0.9799
CAMKK1	0.9798
ST6GALNAC2	0.9798
PVRIG	0.9797
PSAPL1	0.9797
LMCD1	0.9795
AP5B1	0.9793
HNRNPU	0.9791
UGT1A10	0.9791
HMGA2	0.9791
ISG20	0.9789
ZNF302	0.9783
DLX6-AS1	0.9782
PPFIA3	0.9781
PHF19	0.9781
TPGS1	0.9778
CCRL2	0.9778
SUCO	0.9777
KLF10	0.9775
ISY1	0.9775
MRE11A	0.9773
FLYWCH2	0.9773
POLK	0.9773
CC2D2B	0.9772
HNRNPC	0.977
MAGEE1	0.977
OR1E2	0.9767
GDF15	0.9766
NLRP11	0.9766
ARFGAP1	0.9765
ADAMTS12	0.9764
NCAPG	0.9764
LRRC56	0.9758
IL13RA2	0.9757
ZNF296	0.9757
RANGAP1	0.9756
PRR12	0.9756
SNX7	0.9756
BCO2	0.9756
SNORD71	0.9754
HPGDS	0.9754
CCDC112	0.9752
ANGPTL6	0.9751
THUMPD1	0.9749
PPP5C	0.9746
CHTF18	0.9744
PIR	0.9743
SGPP1	0.9742
MCM5	0.974
RSF1	0.9739
FAM174B	0.9739
CASC2	0.9738
ASB4	0.9737
RNASEH1	0.9737
OAS1	0.9737
DEFB118	0.9736
GPIHBP1	0.9735
CXorf30	0.9735
JUN	0.9733
PRTN3	0.9733
MYOT	0.9732
BHLHE41	0.973
CAPNS1	0.973
METAP2	0.973
MTX3	0.9724
FAM163B	0.9722
SNORD63	0.9721
PSG9	0.9721
ATP6V0D2	0.9719
PYDC2	0.9716
TMEM167B	0.9714
TMEM139	0.9713
APBB3	0.971
WDR6	0.9709
KRT37	0.9709
RALGPS2	0.9706
PPP1R27	0.9706
MIDN	0.9705
FRG2B	0.9704
DEFB107A	0.97
LINC01230	0.9699
FOXI1	0.9699
HRG	0.9699
MIR1284	0.9697
NEK11	0.9695
ADD2	0.9695
