!method	chdir
!cutoff	500
!direction	up
CYP26A1	0.08017
CST1	0.0703
EOMES	0.06993
MESP1	0.06127
LEFTY2	0.05734
ZIC2	0.05727
CYP26A1	0.05512
SHISA3	0.05247
SP5	0.04869
ASS1	0.04861
CYP26A1	0.04829
SAMD3	0.04784
NRG1	0.04686
ASS1	0.04685
RIPPLY1	0.04541
PKDCC	0.04462
NRG1	0.04377
BCAR3	0.04313
SHISA2	0.04144
SHISA3	0.04131
TTYH1	0.04117
PKDCC	0.04067
DLK1	0.03967
RARRES2	0.03962
EDNRB	0.03907
OTX1	0.03895
LOX	0.03791
EDNRB	0.03782
CXCR4	0.03772
SAMD3	0.03766
CRABP1	0.0375
FZD7	0.03733
COL13A1	0.03727
PCDH10	0.03712
ZIC3	0.03707
SERPINE2	0.03675
ENO2	0.0366
C16orf92	0.03645
ADM	0.03644
OLFML2A	0.03583
FOXI2	0.0357
SAMD3	0.03554
ACTN3	0.03552
LINC01405	0.03544
TFPI	0.03515
SNORA12	0.03482
EGFLAM	0.03468
DEFB1	0.03438
SNORD3A	0.03431
LGALS1	0.03402
DLK1	0.03384
MYOZ3	0.03383
TFPI	0.03372
IFITM1	0.03368
VWF	0.03348
MOXD1	0.03303
EBF2	0.03276
MFAP4	0.03173
FZD2	0.03139
N4BP2L1	0.03095
SLC29A1	0.03083
DLL3	0.03047
EBF3	0.03044
OTX2	0.0303
SMAGP	0.03021
NKX2-2	0.03006
CXCR4	0.02996
RIPPLY3	0.02982
BST2	0.02977
RRAS	0.02967
POU5F1	0.02954
CLDN11	0.02925
ETV5	0.02921
COL23A1	0.02919
JADE1	0.02918
FAM65B	0.02915
TUBB2A	0.02899
EPCAM	0.02896
SEMA5B	0.02838
PCDH10	0.02811
SNORD3C	0.02808
CBLN1	0.02802
SAT1	0.02796
SAMD11	0.02792
TFPI	0.02762
NCCRP1	0.02744
TGIF1	0.02726
PYCR1	0.02718
MT1X	0.02718
SLC29A1	0.0271
DMBX1	0.02685
C18orf54	0.02658
CCND1	0.02645
ANGPTL4	0.02645
KIF1A	0.02626
SNORD3D	0.02609
C15orf61	0.02599
LRIG3	0.02594
SPRY4	0.02583
NMRK2	0.02569
TMEM54	0.02559
CORO2A	0.02554
RPS29	0.02543
PAPPA	0.02535
ARHGAP24	0.02522
LFNG	0.02513
COCH	0.02512
SOX17	0.02507
IGSF21	0.02497
TWIST1	0.02492
DCLK1	0.02488
SLC18B1	0.02453
EVA1B	0.02449
N4BP2L1	0.0242
SPARC	0.0242
ANPEP	0.02412
LPPR1	0.02407
SMAGP	0.024
OLFML3	0.02396
MOBP	0.02395
SOX15	0.02391
MB	0.02385
HHEX	0.02381
VWA5A	0.02375
WFDC2	0.02372
ALPL	0.02369
SCD5	0.02363
EBF2	0.02362
CA11	0.02352
HAND1	0.02351
SNAI2	0.02345
KCNK12	0.02341
TMEM101	0.02336
SOWAHC	0.02321
FOXA2	0.02309
PAMR1	0.02309
C17orf49	0.02297
KCNMB4	0.02285
GJA1	0.02271
RPL36A	0.02265
RAB17	0.02262
OTX2	0.02261
MACROD1	0.0226
MIB2	0.0226
FGF8	0.02235
PLA2G16	0.0222
TGIF1	0.02207
SMIM24	0.02201
FAM84B	0.02188
MMP23B	0.02185
RDM1	0.02183
RASL11B	0.02182
PPP2R5A	0.02172
EFNB1	0.02167
ALDOA	0.02167
MOBP	0.02166
EPCAM	0.02165
LAMC3	0.02164
EEF1A2	0.02162
CKB	0.02156
TMEM42	0.02155
KIT	0.02147
GSTO2	0.02144
PCDHB5	0.02137
FAM46B	0.02137
DYRK2	0.02129
PPP2R2B	0.02121
TNNT1	0.02115
ZNF581	0.02108
ATP1A2	0.02103
COL4A1	0.02102
RGMA	0.02102
IL6	0.02101
OVOL2	0.02099
CHP2	0.02094
SPRY1	0.02086
SEL1L3	0.02085
ASS1	0.02082
CHMP2A	0.02078
PMAIP1	0.02072
C12orf76	0.0207
EFEMP1	0.0207
ITGA5	0.02063
ECHDC3	0.02062
SNAI2	0.02061
DLL1	0.02047
CHST9	0.02044
EGR1	0.02044
ROR1	0.02037
CYP1B1	0.02037
MATK	0.02033
WLS	0.02033
STMN2	0.02031
IER5	0.02029
STOM	0.02024
VEGFA	0.02013
ID3	0.02003
FXYD5	0.01998
CXXC5	0.01991
ACYP1	0.01988
RPL17	0.01986
HAUS4	0.01986
FOXC1	0.01985
LRRTM1	0.01985
ROR2	0.01981
WLS	0.0198
LGALS3BP	0.01978
CEBPB	0.01976
CXXC5	0.01976
PARP8	0.0196
NDRG4	0.0196
CBLC	0.01957
C12orf76	0.01937
TMED4	0.01937
SYNDIG1	0.01937
MN1	0.0193
DNPH1	0.01927
MIB2	0.01927
KDR	0.01919
LINGO1	0.01919
TTYH1	0.01917
DPM3	0.01915
STMN2	0.01913
FOLR1	0.01913
ASMTL	0.01909
ID1	0.01905
TNMD	0.01905
FAM71E1	0.019
TMED4	0.01897
HLA-H	0.01887
ZFP36L2	0.01884
NUDT14	0.01882
GAS6	0.01882
BLACAT1	0.01876
SIX1	0.01871
CCDC151	0.0187
HCFC1R1	0.01866
RPL9	0.01864
CHST7	0.01858
AIP	0.01851
FOLR1	0.01851
RAB25	0.01848
CNTNAP1	0.01845
FKBP1B	0.01842
SEMA3F	0.01838
PINLYP	0.01838
GNAI2	0.01833
PDIA5	0.01831
CDH1	0.01829
RPL39L	0.01825
