!method	chdir
!cutoff	500
!direction	up
EOMES	0.08665
CST1	0.08626
MESP1	0.07506
ZIC2	0.07069
LEFTY2	0.07026
SP5	0.06017
SHISA3	0.05775
CYP26A1	0.05729
RIPPLY1	0.05583
BCAR3	0.05346
PKDCC	0.05217
SHISA2	0.05129
SAMD3	0.04987
RARRES2	0.04924
OTX1	0.04884
ASS1	0.04785
CRABP1	0.04646
LOX	0.04641
COL13A1	0.04579
DLK1	0.04559
SERPINE2	0.0455
C16orf92	0.04518
ENO2	0.04485
ZIC3	0.04471
ADM	0.04461
FOXI2	0.04448
SNORA12	0.04436
ACTN3	0.04412
LINC01405	0.04407
OLFML2A	0.04405
SNORD3A	0.04276
DEFB1	0.04266
LGALS1	0.04251
IFITM1	0.04206
MYOZ3	0.04192
VWF	0.0407
TFPI	0.04039
MFAP4	0.03945
FZD2	0.03851
EBF3	0.03807
RIPPLY3	0.03754
NKX2-2	0.0374
TTYH1	0.03704
RRAS	0.03702
BST2	0.03695
FAM65B	0.03636
COL23A1	0.03624
CLDN11	0.03619
TUBB2A	0.03566
SAT1	0.03486
MT1X	0.03481
SNORD3C	0.03465
SEMA5B	0.03459
DMBX1	0.03366
CBLN1	0.03362
C15orf61	0.03253
SNORD3D	0.03246
CCND1	0.03238
LRIG3	0.03212
KIF1A	0.03208
TMEM54	0.0317
PAPPA	0.03139
IGSF21	0.03117
TWIST1	0.03099
SOX17	0.03077
EVA1B	0.03042
SLC18B1	0.03034
HHEX	0.03024
WFDC2	0.03008
OLFML3	0.03
SPARC	0.02967
SOX15	0.02955
ANPEP	0.02951
HAND1	0.02935
CA11	0.02913
TMEM101	0.02901
ALPL	0.02882
MOXD1	0.02877
CXCR4	0.02867
C17orf49	0.0286
SOWAHC	0.02859
EBF2	0.02857
RAB17	0.02821
PCDH10	0.02821
MACROD1	0.0282
KCNMB4	0.02816
KCNK12	0.02815
GJA1	0.0281
C18orf54	0.02766
PPP2R5A	0.02723
FAM84B	0.0272
SMIM24	0.02717
GSTO2	0.02703
SNAI2	0.02698
RASL11B	0.02698
EFNB1	0.02667
EEF1A2	0.02657
FAM46B	0.02655
PCDHB5	0.02654
CKB	0.02654
TNNT1	0.02652
OTX2	0.02649
EGR1	0.02647
TMEM42	0.02631
IL6	0.02611
FZD7	0.02609
EFEMP1	0.02604
LAMC3	0.02602
CHP2	0.02601
SEL1L3	0.026
ZNF581	0.02597
OVOL2	0.02588
COL4A1	0.02571
MIB2	0.02569
CHST9	0.02567
RGMA	0.02559
ATP1A2	0.02554
ECHDC3	0.02538
IER5	0.02514
ITGA5	0.02511
C12orf76	0.02486
CYP1B1	0.02484
LGALS3BP	0.02474
HAUS4	0.02471
EPCAM	0.02467
DLL1	0.02448
ROR2	0.02442
KDR	0.02434
CBLC	0.02429
ID3	0.02427
FOXC1	0.02415
STMN2	0.02414
CXXC5	0.0241
EDNRB	0.02403
CHST7	0.02396
SLC29A1	0.02379
FAM71E1	0.02378
LINGO1	0.02372
SYNDIG1	0.02368
CEBPB	0.02367
SIX1	0.02366
TMED4	0.02365
TNMD	0.02358
ZFP36L2	0.02344
NUDT14	0.02343
RAB25	0.02334
ETV5	0.02328
FGF8	0.02324
FKBP1B	0.02319
BLACAT1	0.02296
SPOCK2	0.02289
DLL3	0.02289
AIP	0.02281
PINLYP	0.02277
STOM	0.02275
KIT	0.0226
CDH1	0.02258
PMEL	0.02253
GNAI2	0.02247
PDIA5	0.02246
SEMA3F	0.02245
N4BP2L1	0.02244
CNTNAP1	0.02239
BGN	0.02239
PTPMT1	0.02234
CLDN3	0.02228
PRSS8	0.02226
UCA1	0.02221
CRACR2B	0.0222
PREX1	0.02192
MGMT	0.0219
C1orf54	0.02187
NEFL	0.02177
SYT11	0.02169
TYRO3	0.02169
HIBADH	0.02165
ENC1	0.02156
ZBTB42	0.02147
SALL4	0.02146
CLYBL	0.02146
PERP	0.02144
FOXC2	0.02143
TRAPPC6A	0.02139
RCN3	0.02136
SMCO4	0.02132
TCF7L1	0.02129
NMRK2	0.02128
HAS2-AS1	0.02122
C2orf40	0.02121
TM4SF18	0.02121
DPM3	0.02119
NCCRP1	0.02117
ASMTL	0.02107
COL4A2	0.02103
SOX10	0.02102
SLC25A6	0.02101
MN1	0.021
LHX1	0.02098
SLC46A3	0.02081
SOX18	0.02078
CCM2L	0.02069
HRC	0.02064
UQCC2	0.02058
VWA5A	0.02051
BMP2	0.02036
STARD10	0.02036
ADCK3	0.02034
SFRP2	0.02033
CAMKV	0.0203
IGFBP2	0.02029
SCARNA13	0.02014
OCEL1	0.02014
RPRM	0.02014
C6orf57	0.02006
SLC35D2	0.02006
CLDN7	0.01993
GPC4	0.01989
RPL39L	0.01979
TMEM134	0.01978
TMEM125	0.01976
HLA-B	0.01976
SIAH2	0.01971
ZNF616	0.01962
MAP4K1	0.01962
RAB3IL1	0.01961
COL26A1	0.01961
SIX4	0.01954
CKLF	0.01952
PHF20	0.01952
C19orf70	0.01949
FOXA3	0.01938
CRIP1	0.01938
ANKRD1	0.01935
SHB	0.01921
C19orf33	0.01909
PRIM2	0.01896
RNA18S5	0.01893
TESC	0.01892
CNTNAP2	0.01889
CMTM8	0.01886
NRTN	0.01885
PRICKLE2	0.01879
SNTB1	0.01874
TNNI3	0.01873
LGI2	0.01873
APOE	0.01871
NME3	0.01869
RPL13A	0.01868
HLA-H	0.01864
SAMD11	0.01864
