!method	chdir
!cutoff	200
!direction	up
EGR1	0.4365
FOS	0.31
JUN	0.2427
ZFP36	0.2184
GADD45B	0.1831
EDN1	0.1784
IER3	0.156
FOSL1	0.144
CEBPD	0.1158
MYC	0.1079
TARBP1	0.1026
RNF167	0.1007
TSPAN4	0.09117
FKBP14	0.08893
MFSD10	0.08893
DNAJB1	0.08742
RGS2	0.08567
TRIB1	0.08345
UBQLN2	0.08024
TIPARP	0.07969
VGLL4	0.07644
P4HTM	0.07575
STUB1	0.07506
BHLHE40	0.07126
FSD1	0.06882
CDC20	0.05921
DUSP4	0.05378
SPRED2	0.05377
KCNK1	0.05318
CHN1	0.05307
GADD45A	0.05305
RBKS	0.05093
G3BP1	0.0501
CHP	0.04912
NT5DC2	0.04851
ABCC5	0.04842
TXNRD1	0.04467
INSIG1	0.04344
UTP14A	0.04161
CTNND1	0.0405
CSRP1	0.03949
PSMD10	0.03897
CASP7	0.03881
PPIC	0.03875
CDKN1B	0.03795
DDX10	0.03745
COASY	0.03595
SLC35A3	0.03553
TJP1	0.03472
EXOSC4	0.03317
WDR67	0.03315
CRELD2	0.03305
CXCR4	0.03205
MAPKAPK5	0.03201
PACSIN3	0.03134
RPIA	0.03095
POLR2I	0.03039
CCNH	0.03007
ARHGEF12	0.03006
FAT1	0.0297
HERC6	0.02955
SCYL3	0.02927
GRB7	0.02923
ICAM1	0.02839
CDKN1A	0.02809
PSMB10	0.02786
HMGCR	0.02769
XPO7	0.02756
CDC25A	0.02742
HSPA1A	0.02737
ACAA1	0.0273
SNCA	0.02706
CTSL1	0.02701
ACBD3	0.02698
CLSTN1	0.02688
GNAS	0.02667
PDGFA	0.02666
JMJD6	0.02657
PXMP2	0.0261
TMEM2	0.026
TIAM1	0.02578
ARPP19	0.02558
SPEN	0.02522
SMNDC1	0.02516
FHL2	0.0238
PPIE	0.02364
CREG1	0.02363
RFC2	0.02348
DERA	0.02323
SHC1	0.02319
CAMSAP2	0.02227
CDK4	0.02219
TRIB3	0.02186
RPS5	0.02178
CYCS	0.02177
CCNE2	0.02096
BCL7B	0.02094
PLP2	0.02058
SLC5A6	0.02029
CLPX	0.02014
