!method	chdir
!cutoff	200
!direction	up
EOMES	0.0867
CST1	0.0863
MESP1	0.0751
ZIC2	0.0707
LEFTY2	0.0703
SP5	0.0602
SHISA3	0.0577
CYP26A1	0.0573
RIPPLY1	0.0558
BCAR3	0.0535
PKDCC	0.0522
SHISA2	0.0513
SAMD3	0.0499
RARRES2	0.0492
OTX1	0.0488
ASS1	0.0479
CRABP1	0.0465
LOX	0.0464
COL13A1	0.0458
DLK1	0.0456
SERPINE2	0.0455
C16orf92	0.0452
ENO2	0.0448
ZIC3	0.0447
ADM	0.0446
FOXI2	0.0445
SNORA12	0.0444
ACTN3	0.0441
LINC01405	0.0441
OLFML2A	0.0441
SNORD3A	0.0428
DEFB1	0.0427
LGALS1	0.0425
IFITM1	0.0421
MYOZ3	0.0419
VWF	0.0407
TFPI	0.0404
MFAP4	0.0394
FZD2	0.0385
EBF3	0.0381
RIPPLY3	0.0375
NKX2-2	0.0374
TTYH1	0.037
RRAS	0.037
BST2	0.037
FAM65B	0.0364
COL23A1	0.0362
CLDN11	0.0362
TUBB2A	0.0357
SAT1	0.0349
MT1X	0.0348
SNORD3C	0.0347
SEMA5B	0.0346
DMBX1	0.0337
CBLN1	0.0336
C15orf61	0.0325
SNORD3D	0.0325
CCND1	0.0324
LRIG3	0.0321
KIF1A	0.0321
TMEM54	0.0317
PAPPA	0.0314
IGSF21	0.0312
TWIST1	0.031
SOX17	0.0308
EVA1B	0.0304
SLC18B1	0.0303
HHEX	0.0302
WFDC2	0.0301
OLFML3	0.03
SPARC	0.0297
SOX15	0.0296
ANPEP	0.0295
HAND1	0.0294
CA11	0.0291
TMEM101	0.029
ALPL	0.0288
MOXD1	0.0288
CXCR4	0.0287
C17orf49	0.0286
SOWAHC	0.0286
EBF2	0.0286
RAB17	0.0282
PCDH10	0.0282
MACROD1	0.0282
KCNMB4	0.0282
KCNK12	0.0282
GJA1	0.0281
C18orf54	0.0277
PPP2R5A	0.0272
FAM84B	0.0272
SMIM24	0.0272
GSTO2	0.027
SNAI2	0.027
RASL11B	0.027
EFNB1	0.0267
EEF1A2	0.0266
FAM46B	0.0265
PCDHB5	0.0265
CKB	0.0265
