!method	chdir
!cutoff	300
!direction	down
H19	-0.1009
HBE1	-0.09396
TXNIP	-0.08917
CBLN2	-0.081
DNAH2	-0.08053
SLC30A3	-0.07423
ACTA2	-0.07338
HOXB2	-0.07331
SMYD1	-0.06946
MYL7	-0.06883
PANX2	-0.06609
MEIS1	-0.06413
RGL1	-0.06337
RGS4	-0.06249
HAPLN1	-0.06184
DGKI	-0.0592
SC5D	-0.05817
TNC	-0.05809
CYB5D1	-0.05753
ACKR3	-0.05658
VCAN	-0.05599
RFTN1	-0.0558
NPY	-0.05201
PBX3	-0.05149
RHOU	-0.05106
VIM	-0.05072
LYPD6B	-0.04998
NKX3-1	-0.04798
LRRN4	-0.04789
SVEP1	-0.04743
LIX1	-0.04607
MYL4	-0.04402
MT2A	-0.04377
SLC17A8	-0.04353
COL22A1	-0.04154
SYNPO2L	-0.04154
TMEM88	-0.04149
HEY1	-0.04066
EPHA4	-0.04061
LEF1	-0.04032
CGNL1	-0.04018
SOX3	-0.03983
ALDH1A2	-0.03913
PDGFRA	-0.03839
IMPAD1	-0.03739
MLLT11	-0.03697
PAQR8	-0.03609
LYPD6	-0.03599
ATF7IP2	-0.03582
WNT5A	-0.03568
CCDC3	-0.03541
MYLK3	-0.03521
RBM20	-0.03508
RDH10	-0.0339
SYT4	-0.03368
SNCAIP	-0.03348
CREG1	-0.03309
NAALAD2	-0.03302
PPP1R13B	-0.03288
MYH6	-0.03271
GNG11	-0.03218
TUBB6	-0.03203
MAGEB3	-0.0318
MT1G	-0.03173
FRMD6	-0.03166
LAMA1	-0.03161
MIR503HG	-0.03143
PKP2	-0.03129
MEF2C	-0.03122
ARHGDIB	-0.03098
LRRC32	-0.03089
SH3RF2	-0.03069
NR0B1	-0.03045
HAND2	-0.03021
EMILIN2	-0.03016
NDFIP2	-0.03004
GUCY1A3	-0.02996
TMEM100	-0.02978
NELFCD	-0.02962
TMEM2	-0.02956
RHOBTB3	-0.02937
FZD4	-0.02924
KIFAP3	-0.02891
RGS2	-0.02886
CDK6	-0.02877
SLC47A1	-0.02868
PRICKLE1	-0.02867
HSPH1	-0.02862
MMP11	-0.02838
BAMBI	-0.02837
LIME1	-0.02779
RGS5	-0.02743
PTN	-0.02739
HMGCS1	-0.0273
SPON1	-0.0271
POPDC2	-0.027
NRP1	-0.02693
SLC35F1	-0.02671
LIMA1	-0.0267
CNKSR3	-0.02661
FNDC5	-0.02659
TNNT2	-0.02635
DOK4	-0.02584
ENO3	-0.0256
GLTP	-0.02547
FRZB	-0.02543
PGA5	-0.02539
UNC13B	-0.02534
CAP2	-0.02534
CYCS	-0.02489
LCP1	-0.02485
FAM118A	-0.02484
RRP15	-0.02457
COX20	-0.0244
MYH10	-0.02428
FAM213A	-0.02424
CSRP2	-0.02416
CCDC109B	-0.02416
LYSMD2	-0.02405
RPS23	-0.02373
NELL2	-0.02373
CALB2	-0.02372
GPR128	-0.02353
CD82	-0.02347
TRIM55	-0.02347
SMOC1	-0.02347
NKX3-2	-0.02339
SNF8	-0.02339
FLRT3	-0.02333
CHIC2	-0.0233
GNG2	-0.02329
SIPA1L2	-0.02325
DDX46	-0.02322
MPC2	-0.02305
SNAPC4	-0.02297
SRRT	-0.02294
FNBP4	-0.02291
LPPR5	-0.02287
FRAS1	-0.02284
BMP5	-0.02278
TOPBP1	-0.02275
SAFB2	-0.02273
C15orf39	-0.02272
DENND5B	-0.0227
AP1S2	-0.02264
ZMPSTE24	-0.02264
TGFBI	-0.0226
ARGLU1	-0.02258
LRP1B	-0.02256
SRSF6	-0.02252
