!method	chdir
!cutoff	500
!direction	down
H19	-0.08192
HBE1	-0.07596
HAPLN1	-0.07516
TXNIP	-0.07203
CBLN2	-0.06571
DNAH2	-0.06494
MYL4	-0.06304
SLC30A3	-0.06041
ACTA2	-0.05974
HOXB2	-0.05951
MEIS2	-0.0584
SMYD1	-0.05601
MYL7	-0.05518
TNC	-0.05278
PANX2	-0.05273
MEIS1	-0.05207
RGL1	-0.05145
RGS4	-0.05077
LRRN4	-0.04967
HAND2	-0.04868
PCDH7	-0.04776
DGKI	-0.04764
SC5D	-0.04713
CYB5D1	-0.04704
HEY1	-0.0468
RFTN1	-0.04595
ACKR3	-0.0457
LYPD6B	-0.04468
VCAN	-0.04458
PBX3	-0.04185
RHOU	-0.04178
FRMD6	-0.04166
VIM	-0.04148
NPY	-0.04148
TNC	-0.0409
VIM	-0.04043
ALDH1A2	-0.0403
CALB2	-0.03954
NETO1	-0.03939
NKX3-1	-0.03918
PRICKLE1	-0.03913
SVEP1	-0.0383
LIX1	-0.03773
LYPD6B	-0.0362
FLRT3	-0.03599
TMEM88	-0.0355
MT2A	-0.03523
SLC17A8	-0.03507
COL22A1	-0.03345
LEF1	-0.03325
SYNPO2L	-0.03325
TNNT2	-0.03315
PDGFRA	-0.03289
EPHA4	-0.03283
CGNL1	-0.03231
TUBB6	-0.0323
SOX3	-0.03174
GUCY1A3	-0.03158
LEF1	-0.03152
ZNF503	-0.03147
ACTC1	-0.03118
FRMD6	-0.03053
IMPAD1	-0.03031
LPPR5	-0.03031
IL6ST	-0.02983
SCMH1	-0.0298
BMPER	-0.02974
MLLT11	-0.02973
ALG13	-0.02966
CCDC3	-0.02952
NRP1	-0.02938
PAQR8	-0.02932
PDGFRA	-0.02925
LYPD6	-0.02919
TRIM55	-0.02907
ATF7IP2	-0.02883
WNT5A	-0.02883
LRRN4	-0.02865
SMOC1	-0.02848
MYLK3	-0.02827
RBM20	-0.02811
SYT4	-0.02783
LUM	-0.0278
LAMA1	-0.02771
COLEC11	-0.02764
SNCAIP	-0.02748
RDH10	-0.02746
CREG1	-0.02702
NAALAD2	-0.02686
MT1E	-0.02685
RARB	-0.0268
PPP1R13B	-0.02662
MYH6	-0.02651
GNG11	-0.02617
NFKBIZ	-0.02616
ENO3	-0.02591
MT1G	-0.02563
TRIM55	-0.02561
PKP2	-0.02552
MAGEB3	-0.02537
MEF2C	-0.02536
NHS	-0.02525
MIR503HG	-0.02507
