!method	chdir
!cutoff	500
!direction	up
EGR1	0.4365
FOS	0.31
JUN	0.2427
ZFP36	0.2184
GADD45B	0.1831
EDN1	0.1784
IER3	0.156
FOSL1	0.144
CEBPD	0.1158
MYC	0.1079
TARBP1	0.1026
RNF167	0.1007
TSPAN4	0.09117
FKBP14	0.08893
MFSD10	0.08893
DNAJB1	0.08742
RGS2	0.08567
TRIB1	0.08345
UBQLN2	0.08024
TIPARP	0.07969
VGLL4	0.07644
P4HTM	0.07575
STUB1	0.07506
BHLHE40	0.07126
FSD1	0.06882
CDC20	0.05921
DUSP4	0.05378
SPRED2	0.05377
KCNK1	0.05318
CHN1	0.05307
GADD45A	0.05305
RBKS	0.05093
G3BP1	0.0501
CHP	0.04912
NT5DC2	0.04851
ABCC5	0.04842
TXNRD1	0.04467
INSIG1	0.04344
UTP14A	0.04161
CTNND1	0.0405
CSRP1	0.03949
PSMD10	0.03897
CASP7	0.03881
PPIC	0.03875
CDKN1B	0.03795
DDX10	0.03745
COASY	0.03595
SLC35A3	0.03553
TJP1	0.03472
EXOSC4	0.03317
WDR67	0.03315
CRELD2	0.03305
CXCR4	0.03205
MAPKAPK5	0.03201
PACSIN3	0.03134
RPIA	0.03095
POLR2I	0.03039
CCNH	0.03007
ARHGEF12	0.03006
FAT1	0.0297
HERC6	0.02955
SCYL3	0.02927
GRB7	0.02923
ICAM1	0.02839
CDKN1A	0.02809
PSMB10	0.02786
HMGCR	0.02769
XPO7	0.02756
CDC25A	0.02742
HSPA1A	0.02737
ACAA1	0.0273
SNCA	0.02706
CTSL1	0.02701
ACBD3	0.02698
CLSTN1	0.02688
GNAS	0.02667
PDGFA	0.02666
JMJD6	0.02657
PXMP2	0.0261
TMEM2	0.026
TIAM1	0.02578
ARPP19	0.02558
SPEN	0.02522
SMNDC1	0.02516
FHL2	0.0238
PPIE	0.02364
CREG1	0.02363
RFC2	0.02348
DERA	0.02323
SHC1	0.02319
CAMSAP2	0.02227
CDK4	0.02219
TRIB3	0.02186
RPS5	0.02178
CYCS	0.02177
CCNE2	0.02096
BCL7B	0.02094
PLP2	0.02058
SLC5A6	0.02029
CLPX	0.02014
MTHFD2	0.01946
GPER	0.01917
CIAPIN1	0.01912
NSDHL	0.0191
DNTTIP2	0.01899
CREB1	0.01856
STAT1	0.01838
FOXJ3	0.01817
PLA2G4A	0.01816
COG7	0.01816
GMNN	0.01813
VAV3	0.01794
HMG20B	0.01732
PPARG	0.01727
GRWD1	0.01712
CXCL2	0.01707
PIK3CA	0.01697
LAP3	0.01686
GHR	0.01682
OXA1L	0.01681
FZD1	0.01669
KCTD5	0.01628
UGDH	0.01612
SSBP2	0.01595
NCK2	0.01594
RASA1	0.01579
HEBP1	0.01574
KAT6B	0.01562
GNAI2	0.01561
IDE	0.01554
EPHA3	0.01551
SUPV3L1	0.0155
LOXL1	0.01537
SQRDL	0.01533
PTPN6	0.01529
KIF14	0.01526
CTNNAL1	0.01522
CPSF4	0.01503
MAP3K4	0.01494
RBM34	0.01466
EML3	0.0146
GFOD1	0.01451
ETS1	0.01418
CBR1	0.01413
BAMBI	0.01402
BMP4	0.01398
TES	0.01395
MYBL2	0.01394
C2CD2	0.01386
HEATR1	0.01379
SCCPDH	0.01347
RAB31	0.01335
ASAH1	0.01324
VAT1	0.01322
GATA2	0.0132
PMAIP1	0.01315
HLA-DMA	0.01314
KDM5B	0.01307
PEX11A	0.01307
TMEM97	0.01303
GOLT1B	0.01302
PIN1	0.01292
DAXX	0.01288
AKAP8	0.01273
INPP1	0.0127
KAT6A	0.01268
GNA11	0.01258
BPHL	0.01243
TOR1A	0.01239
REEP5	0.01237
ERBB3	0.01214
POLR2K	0.01191
LYRM1	0.01186
ATF1	0.01178
PSMB8	0.01178
MAT2A	0.01175
ATP6V1D	0.01174
UBR7	0.01169
MNAT1	0.01168
MLEC	0.01155
CCND1	0.01152
HIF1A	0.01136
CYTH1	0.01124
KLHL21	0.01099
HDGFRP3	0.01096
HTRA1	0.01089
SACM1L	0.01087
E2F2	0.01084
PHF15	0.01079
GLI2	0.01063
CNDP2	0.01062
RRP8	0.01056
EBP	0.01051
SLC37A4	0.01047
MAP4K4	0.01032
MTF2	0.01026
WDR7	0.01026
AARS	0.01023
ABCB6	0.01023
EPRS	0.01021
MIF	0.01019
TLK2	0.01013
MYL9	0.01007
PARP1	0.01002
TPM1	0.009944
UBE3B	0.009927
EVL	0.009832
UFM1	0.009801
CDC45	0.009779
PTPRK	0.00971
ZNF451	0.009707
C2CD2L	0.0097
CHMP6	0.009648
CCDC90A	0.009589
BRCA1	0.009564
TBPL1	0.009402
IKZF1	0.009298
CD97	0.009228
KLHDC2	0.00919
CEBPZ	0.009133
TOMM34	0.00913
DHX29	0.009102
ARID4B	0.009017
PRPF4	0.008958
IL13RA1	0.008892
CHMP4A	0.008755
LSM6	0.008717
SLC25A46	0.008554
CGRRF1	0.00852
KIT	0.008488
NFE2L2	0.008479
MCOLN1	0.008448
NOTCH1	0.008382
CSK	0.008354
FAM57A	0.008342
TBP	0.008316
NARFL	0.008308
MOK	0.008307
NOS3	0.008229
WFS1	0.008204
PNKP	0.008177
SMARCD2	0.008011
BLMH	0.008002
YKT6	0.007944
HMGCS1	0.007927
COG2	0.007814
FUT1	0.007755
INPP4B	0.007742
STXBP1	0.007723
UBE3C	0.007615
