!method	ttest
!cutoff	500
!direction	down
MSRB2	-1
FOSL2	-1
SRD5A3	-1
ATG7	-0.9997
GLP1R	-0.9997
DCBLD2	-0.9996
SCGB2A1	-0.9993
STK17B	-0.9993
COX6A2	-0.9989
FAM162A	-0.9986
ZYG11A	-0.9985
M6PR	-0.9982
MRVI1	-0.9982
NAP1L4	-0.9981
SHISA4	-0.9981
SH3BGRL2	-0.998
PSG4	-0.9978
DCDC2C	-0.9978
RNF139	-0.9977
TCTN2	-0.9977
SCARNA16	-0.9974
TAF4B	-0.9974
MIR548P	-0.9972
HTR1A	-0.9972
GRM2	-0.9972
ATG16L2	-0.997
BTBD8	-0.997
MUC1	-0.9964
AGTPBP1	-0.9962
OR7A17	-0.9962
GPR82	-0.9961
ITGA7	-0.9961
SCP2	-0.9959
MIR518F	-0.9958
POTEE	-0.9958
SMCR8	-0.9957
MC5R	-0.9956
FAM122C	-0.9956
SMPDL3B	-0.9955
LMNA	-0.9955
CSF2RA	-0.9953
GMEB2	-0.9953
LKAAEAR1	-0.9953
LPHN2	-0.9953
SNORD58A	-0.9951
P2RX6P	-0.9951
ARMCX5	-0.995
COL2A1	-0.995
GLTSCR1	-0.995
FADS2	-0.9948
CDKL1	-0.9946
ZNF645	-0.9946
ADCY8	-0.9945
CORO7	-0.9944
NDUFB11	-0.9943
KLHDC2	-0.9942
RNPEP	-0.9941
RAD54B	-0.9941
GRIP1	-0.9941
MAGEA4	-0.9939
DPP4	-0.9939
SLC6A14	-0.9938
CCHCR1	-0.9937
PRDM10	-0.9934
TMEM243	-0.993
SHOX	-0.9927
C2orf83	-0.9927
OR51A4	-0.9925
B3GALNT2	-0.9925
CFC1B	-0.9925
TNFRSF6B	-0.9924
RAB28	-0.9924
WDR19	-0.9922
GOLGA2P7	-0.992
DMRT3	-0.992
HMP19	-0.992
MYD88	-0.992
ZNF662	-0.9919
ATG4B	-0.9919
MZT1	-0.9919
COPS7A	-0.9915
BAD	-0.9913
PCP4L1	-0.9913
ITGB1	-0.9911
FUCA1	-0.9911
PSMD10	-0.9909
