!method	chdir
!cutoff	None
!direction	up
EGR1	0.436542
FOS	0.310046
JUN	0.242719
ZFP36	0.218352
GADD45B	0.183061
EDN1	0.178439
IER3	0.156023
FOSL1	0.144012
CEBPD	0.115821
MYC	0.107851
TARBP1	0.102576
RNF167	0.100691
TSPAN4	0.0911652
FKBP14	0.0889346
MFSD10	0.0889314
DNAJB1	0.0874221
RGS2	0.0856693
TRIB1	0.0834506
UBQLN2	0.0802416
TIPARP	0.0796858
VGLL4	0.0764411
P4HTM	0.0757498
STUB1	0.075063
BHLHE40	0.0712588
FSD1	0.0688218
CDC20	0.059213
DUSP4	0.053781
SPRED2	0.0537715
KCNK1	0.0531827
CHN1	0.0530657
GADD45A	0.0530507
RBKS	0.0509345
G3BP1	0.0501032
CHP	0.0491215
NT5DC2	0.0485103
ABCC5	0.0484209
TXNRD1	0.04467
INSIG1	0.043435
UTP14A	0.0416114
CTNND1	0.0405045
CSRP1	0.0394924
PSMD10	0.0389704
CASP7	0.0388116
PPIC	0.038749
CDKN1B	0.0379494
DDX10	0.0374494
COASY	0.035947
SLC35A3	0.0355279
TJP1	0.0347193
EXOSC4	0.0331712
WDR67	0.0331521
CRELD2	0.0330526
CXCR4	0.0320531
MAPKAPK5	0.0320143
PACSIN3	0.0313352
RPIA	0.0309454
POLR2I	0.0303873
CCNH	0.0300748
ARHGEF12	0.0300575
FAT1	0.0296954
HERC6	0.0295451
SCYL3	0.029273
GRB7	0.0292324
ICAM1	0.0283928
CDKN1A	0.0280946
PSMB10	0.0278605
HMGCR	0.027686
XPO7	0.0275583
CDC25A	0.0274243
HSPA1A	0.0273726
ACAA1	0.027296
SNCA	0.027057
CTSL1	0.0270066
ACBD3	0.026978
CLSTN1	0.0268845
GNAS	0.0266686
PDGFA	0.0266649
JMJD6	0.0265702
PXMP2	0.026103
TMEM2	0.0259994
TIAM1	0.0257832
ARPP19	0.0255771
SPEN	0.0252164
SMNDC1	0.0251637
FHL2	0.0237957
PPIE	0.0236405
CREG1	0.0236264
RFC2	0.0234845
DERA	0.0232315
SHC1	0.0231915
CAMSAP2	0.022266
CDK4	0.0221941
TRIB3	0.0218613
RPS5	0.0217752
CYCS	0.0217675
CCNE2	0.0209609
BCL7B	0.0209387
PLP2	0.0205834
SLC5A6	0.0202889
CLPX	0.0201414
MTHFD2	0.0194628
GPER	0.0191671
CIAPIN1	0.01912
NSDHL	0.0190986
DNTTIP2	0.0189911
CREB1	0.0185553
STAT1	0.0183838
FOXJ3	0.0181722
PLA2G4A	0.0181647
COG7	0.0181625
GMNN	0.0181275
VAV3	0.0179352
HMG20B	0.0173209
