!method	chdir
!cutoff	200
!direction	up
EOMES	0.08665
CST1	0.08626
MESP1	0.07506
ZIC2	0.07069
LEFTY2	0.07026
SP5	0.06017
SHISA3	0.05775
CYP26A1	0.05729
RIPPLY1	0.05583
BCAR3	0.05346
PKDCC	0.05217
SHISA2	0.05129
SAMD3	0.04987
RARRES2	0.04924
OTX1	0.04884
ASS1	0.04785
CRABP1	0.04646
LOX	0.04641
COL13A1	0.04579
DLK1	0.04559
SERPINE2	0.0455
C16orf92	0.04518
ENO2	0.04485
ZIC3	0.04471
ADM	0.04461
FOXI2	0.04448
SNORA12	0.04436
ACTN3	0.04412
LINC01405	0.04407
OLFML2A	0.04405
SNORD3A	0.04276
DEFB1	0.04266
LGALS1	0.04251
IFITM1	0.04206
MYOZ3	0.04192
VWF	0.0407
TFPI	0.04039
MFAP4	0.03945
FZD2	0.03851
EBF3	0.03807
RIPPLY3	0.03754
NKX2-2	0.0374
TTYH1	0.03704
RRAS	0.03702
BST2	0.03695
FAM65B	0.03636
COL23A1	0.03624
CLDN11	0.03619
TUBB2A	0.03566
SAT1	0.03486
MT1X	0.03481
SNORD3C	0.03465
SEMA5B	0.03459
DMBX1	0.03366
CBLN1	0.03362
C15orf61	0.03253
SNORD3D	0.03246
CCND1	0.03238
LRIG3	0.03212
KIF1A	0.03208
TMEM54	0.0317
PAPPA	0.03139
IGSF21	0.03117
TWIST1	0.03099
SOX17	0.03077
EVA1B	0.03042
SLC18B1	0.03034
HHEX	0.03024
WFDC2	0.03008
OLFML3	0.03
SPARC	0.02967
SOX15	0.02955
ANPEP	0.02951
HAND1	0.02935
CA11	0.02913
TMEM101	0.02901
ALPL	0.02882
MOXD1	0.02877
CXCR4	0.02867
C17orf49	0.0286
SOWAHC	0.02859
EBF2	0.02857
RAB17	0.02821
PCDH10	0.02821
MACROD1	0.0282
KCNMB4	0.02816
KCNK12	0.02815
GJA1	0.0281
C18orf54	0.02766
PPP2R5A	0.02723
FAM84B	0.0272
SMIM24	0.02717
GSTO2	0.02703
SNAI2	0.02698
RASL11B	0.02698
EFNB1	0.02667
EEF1A2	0.02657
FAM46B	0.02655
PCDHB5	0.02654
CKB	0.02654
